2025-07-09 14:15:27.315 | INFO | EventBus | start:82 | EventBus 'CTPMarketTest' engines started
2025-07-09 14:16:04.332 | INFO | EventBus | _stop_sync:141 | Sync engine stopped for CTPMarketTest
2025-07-09 14:16:05.332 | INFO | EventBus | _stop_async:226 | Async engine stopped for CTPMarketTest
2025-07-09 14:16:05.332 | INFO | EventBus | stop:88 | EventBus 'CTPMarketTest' engines stopped
2025-07-09 14:16:24.755 | INFO | EventBus | start:82 | EventBus 'CTPSimpleTest' engines started
2025-07-09 14:16:26.756 | INFO | EventBus | _stop_sync:141 | Sync engine stopped for CTPSimpleTest
2025-07-09 14:16:27.756 | INFO | EventBus | _stop_async:226 | Async engine stopped for CTPSimpleTest
2025-07-09 14:16:27.757 | INFO | EventBus | stop:88 | EventBus 'CTPSimpleTest' engines stopped
2025-07-09 14:17:01.210 | INFO | EventBus | start:82 | EventBus 'CTPMarketTest' engines started
2025-07-09 14:17:38.224 | INFO | EventBus | _stop_sync:141 | Sync engine stopped for CTPMarketTest
2025-07-09 14:17:38.228 | INFO | EventBus | _stop_async:226 | Async engine stopped for CTPMarketTest
2025-07-09 14:17:38.228 | INFO | EventBus | stop:88 | EventBus 'CTPMarketTest' engines stopped
2025-07-09 14:19:36.159 | INFO | EventBus | start:82 | EventBus 'CTPMarketTest' engines started
2025-07-09 14:20:15.178 | INFO | EventBus | _stop_sync:141 | Sync engine stopped for CTPMarketTest
2025-07-09 14:20:16.179 | INFO | EventBus | _stop_async:226 | Async engine stopped for CTPMarketTest
2025-07-09 14:20:16.180 | INFO | EventBus | stop:88 | EventBus 'CTPMarketTest' engines stopped
2025-07-09 14:21:46.128 | INFO | EventBus | start:82 | EventBus 'CTPMarketTest' engines started
2025-07-09 14:22:18.141 | INFO | EventBus | _stop_sync:141 | Sync engine stopped for CTPMarketTest
2025-07-09 14:22:19.142 | INFO | EventBus | _stop_async:226 | Async engine stopped for CTPMarketTest
2025-07-09 14:22:19.143 | INFO | EventBus | stop:88 | EventBus 'CTPMarketTest' engines stopped
2025-07-09 14:23:20.809 | INFO | EventBus | start:82 | EventBus 'CTPMarketTest' engines started
2025-07-09 14:23:59.829 | INFO | EventBus | _stop_sync:141 | Sync engine stopped for CTPMarketTest
2025-07-09 14:24:00.829 | INFO | EventBus | _stop_async:226 | Async engine stopped for CTPMarketTest
2025-07-09 14:24:00.830 | INFO | EventBus | stop:88 | EventBus 'CTPMarketTest' engines stopped
2025-07-09 14:25:10.078 | INFO | EventBus | start:82 | EventBus 'CTPMarketTest' engines started
2025-07-09 14:25:30.088 | INFO | EventBus | _stop_sync:141 | Sync engine stopped for CTPMarketTest
2025-07-09 14:25:31.088 | INFO | EventBus | _stop_async:226 | Async engine stopped for CTPMarketTest
2025-07-09 14:25:31.088 | INFO | EventBus | stop:88 | EventBus 'CTPMarketTest' engines stopped
2025-07-09 14:26:16.921 | INFO | Main | initialize:81 | 🚀 Homalos量化交易系统启动中...
2025-07-09 14:26:16.921 | INFO | Main | initialize:84 | 📋 初始化配置管理器...
2025-07-09 14:26:16.927 | INFO | ConfigManager | load_config:41 | 配置文件已加载: config\system.yaml
2025-07-09 14:26:16.928 | INFO | Main | initialize:88 | 🔄 初始化事件总线...
2025-07-09 14:26:16.928 | INFO | EventBus | start:82 | EventBus 'trading_system' engines started
2025-07-09 14:26:16.928 | INFO | Main | initialize:96 | 📝 初始化服务注册中心...
2025-07-09 14:26:16.928 | INFO | Main | initialize:100 | 💾 初始化数据服务...
2025-07-09 14:26:16.931 | INFO | DataService | _init_database:167 | 数据库初始化成功: data\trading.db
2025-07-09 14:26:16.932 | INFO | DataService | __init__:450 | 数据服务初始化完成
2025-07-09 14:26:16.933 | INFO | DataService | start:181 | 数据库写入线程已启动
2025-07-09 14:26:16.933 | INFO | DataService | initialize:475 | 数据服务初始化成功
2025-07-09 14:26:16.933 | INFO | Main | initialize:105 | ⚙️ 初始化交易引擎核心...
2025-07-09 14:26:16.934 | INFO | TradingEngine | __init__:575 | 交易引擎核心初始化完成
2025-07-09 14:26:16.934 | INFO | TradingEngine | initialize:589 | 正在初始化交易引擎...
2025-07-09 14:26:16.934 | INFO | TradingEngine | initialize:594 | 交易引擎初始化完成
2025-07-09 14:26:16.935 | INFO | Main | _initialize_gateways:139 | 📊 初始化CTP行情网关...
2025-07-09 14:26:16.935 | INFO | Main | _initialize_gateways:144 | 💰 初始化CTP交易网关...
2025-07-09 14:26:16.935 | INFO | Main | _connect_gateways:159 | 🔗 连接行情网关...
2025-07-09 14:26:16.936 | INFO | Main | _connect_gateways:164 | 🔗 连接交易网关...
2025-07-09 14:26:16.936 | INFO | Main | _connect_gateways:167 | ✅ 网关连接完成
2025-07-09 14:26:16.936 | INFO | Main | initialize:114 | 🌐 初始化Web管理界面...
2025-07-09 14:26:16.941 | INFO | WebServer | __init__:137 | Web服务器初始化完成
2025-07-09 14:26:16.942 | INFO | Main | initialize:117 | ✅ 系统组件初始化完成
2025-07-09 14:26:16.942 | INFO | Main | start:185 | 🚀 启动事件总线...
2025-07-09 14:26:16.942 | INFO | EventBus | start:82 | EventBus 'trading_system' engines started
2025-07-09 14:26:16.942 | INFO | Main | start:189 | 🚀 启动服务注册中心...
2025-07-09 14:26:16.943 | INFO | ServiceRegistry | start:47 | ServiceRegistry started
2025-07-09 14:26:16.943 | INFO | Main | start:193 | 🚀 启动交易引擎...
2025-07-09 14:26:16.943 | INFO | TradingEngine | start:609 | 交易引擎已启动
2025-07-09 14:26:16.944 | INFO | Main | start:200 | 🎉 Homalos量化交易系统启动成功!
2025-07-09 14:26:16.944 | INFO | Main | start:201 | ⏰ 启动时间: 2025-07-09 14:26:16
2025-07-09 14:26:16.944 | INFO | Main | _print_system_info:325 | 
============================================================
🎯 Homalos量化交易系统 v2.0
📁 配置文件: config/system.yaml
🌐 Web界面: 启用
🔌 CTP网关: 可用
⚙️ 事件总线: trading_system
💾 数据库: data/trading.db
🎛️ 风控系统: 启用
🌐 Web地址: http://127.0.0.1:8000
============================================================
2025-07-09 14:26:16.945 | INFO | Main | start:208 | 🌐 启动Web管理界面...
2025-07-09 14:26:16.971 | INFO | WebServer | start:775 | Web服务器启动: http://127.0.0.1:8000
2025-07-09 14:26:22.821 | INFO | WebServer | connect:83 | WebSocket连接建立，当前连接数: 1
2025-07-09 14:26:25.480 | INFO | WebServer | disconnect:90 | WebSocket连接断开，当前连接数: 0
2025-07-09 14:26:28.007 | INFO | Main | signal_handler:72 | 接收到退出信号 2，正在关闭系统...
2025-07-09 14:26:28.008 | INFO | Main | shutdown:262 | 🛑 正在关闭Homalos量化交易系统...
2025-07-09 14:26:28.009 | INFO | Main | shutdown:267 | 🛑 停止交易引擎...
2025-07-09 14:26:28.010 | INFO | TradingEngine | stop:630 | 交易引擎已停止
2025-07-09 14:26:28.010 | INFO | Main | shutdown:272 | 🛑 关闭数据服务...
2025-07-09 14:26:28.010 | INFO | DataService | stop:197 | 数据库写入线程已停止
2025-07-09 14:26:28.011 | INFO | DataService | shutdown:487 | 数据服务已关闭
2025-07-09 14:26:28.013 | INFO | Main | shutdown:277 | 🛑 断开行情网关...
2025-07-09 14:26:28.013 | INFO | Main | shutdown:281 | 🛑 断开交易网关...
2025-07-09 14:26:28.015 | INFO | Main | shutdown:286 | 🛑 停止服务注册中心...
