2025-07-12 10:10:49.156 | INFO | Main | start:304 | 📋 开始系统初始化...
2025-07-12 10:10:49.157 | INFO | Main | initialize:87 | 🚀 Homalos量化交易系统启动中...
2025-07-12 10:10:49.157 | INFO | Main | initialize:90 | 📋 初始化配置管理器...
2025-07-12 10:10:49.165 | INFO | ConfigManager | load_config:41 | 配置文件已加载: config\system.yaml
2025-07-12 10:10:49.165 | INFO | Main | initialize:94 | 🔄 初始化事件总线...
2025-07-12 10:10:49.166 | INFO | EventBus | start:82 | EventBus 'trading_system' engines started
2025-07-12 10:10:49.166 | INFO | Main | initialize:102 | 📝 初始化服务注册中心...
2025-07-12 10:10:49.166 | INFO | Main | initialize:106 | 💾 初始化数据服务...
2025-07-12 10:10:49.170 | INFO | DataService | _init_database:170 | 数据库初始化成功: data\trading.db
2025-07-12 10:10:49.170 | INFO | DataService | __init__:526 | 数据服务初始化完成
2025-07-12 10:10:49.171 | INFO | DataService | start:184 | 数据库写入线程已启动
2025-07-12 10:10:49.171 | INFO | DataService | initialize:551 | 数据服务初始化成功
2025-07-12 10:10:49.171 | INFO | Main | initialize:111 | ⚙️ 初始化交易引擎核心...
2025-07-12 10:10:49.171 | INFO | PerformanceMonitor | _setup_event_handlers:141 | 性能监控事件处理器已注册
2025-07-12 10:10:49.171 | INFO | PerformanceMonitor | __init__:125 | 性能监控器初始化完成
2025-07-12 10:10:49.172 | INFO | TradingEngine | __init__:1181 | 交易引擎核心初始化完成
2025-07-12 10:10:49.172 | INFO | TradingEngine | initialize:1195 | 正在初始化交易引擎...
2025-07-12 10:10:49.172 | INFO | TradingEngine | initialize:1200 | 交易引擎初始化完成
2025-07-12 10:10:49.172 | INFO | Main | _initialize_gateways:157 | ✅ CTP网关配置验证通过
2025-07-12 10:10:49.172 | INFO | Main | _initialize_gateways:160 | 📊 初始化CTP行情网关...
2025-07-12 10:10:49.172 | INFO | MarketDataGateway | _setup_gateway_event_handlers:292 | CTP_MD 网关事件处理器已注册
2025-07-12 10:10:49.172 | INFO | Main | _initialize_gateways:163 | 行情网关已创建: CTP_MD
2025-07-12 10:10:49.172 | INFO | Main | _initialize_gateways:166 | 💰 初始化CTP交易网关...
2025-07-12 10:10:49.173 | INFO | BaseGateway | write_log:187 | [CTP_TD] 成功从 D:\Project\PycharmProjects\Homalos_v2\config\instrument_exchange_id.json 加载合约交易所映射。
2025-07-12 10:10:49.173 | INFO | OrderTradingGateway | _setup_gateway_event_handlers:209 | CTP_TD 交易网关事件处理器已注册
2025-07-12 10:10:49.173 | INFO | Main | _initialize_gateways:169 | 交易网关已创建: CTP_TD
2025-07-12 10:10:49.173 | INFO | Main | _connect_gateways_with_timeout:187 | 🔗 连接行情网关...
2025-07-12 10:10:49.173 | INFO | MarketDataGateway | connect:378 | 开始连接CTP行情服务器...
2025-07-12 10:10:49.173 | INFO | MarketDataGateway | _start_heartbeat_monitor:222 | 心跳监控已启动
2025-07-12 10:10:49.175 | INFO | MarketDataGateway | connect:410 | MdApi：createFtdcMdApi调用成功，路径：C:\Users\donny\.Homalos_v2\ctp_md
2025-07-12 10:10:49.177 | INFO | MarketDataGateway | connect:414 | MdApi：registerFront调用成功，地址：tcp://182.254.243.31:30011
2025-07-12 10:10:49.177 | INFO | MarketDataGateway | connect:418 | MdApi：init调用成功。
2025-07-12 10:10:49.177 | INFO | MarketDataGateway | connect:421 | 正在连接到 tcp://182.254.243.31:30011...
2025-07-12 10:10:52.185 | INFO | Main | _connect_gateways_with_timeout:197 | ✅ 行情网关连接成功
2025-07-12 10:10:52.185 | INFO | Main | _connect_gateways_with_timeout:215 | 🔗 连接交易网关...
2025-07-12 10:10:52.186 | INFO | BaseGateway | write_log:187 | [CTP_TD] CtpTdApi：尝试创建路径为 C:\Users\donny\.Homalos_v2\ctp_td\md 的 API
2025-07-12 10:10:52.187 | INFO | BaseGateway | write_log:187 | [CTP_TD] CtpTdApi：createFtdcTraderApi调用成功。
2025-07-12 10:10:52.187 | INFO | BaseGateway | write_log:187 | [CTP_TD] CtpTdApi：尝试使用地址初始化 API：tcp://182.254.243.31:30001...
2025-07-12 10:10:52.188 | INFO | BaseGateway | write_log:187 | [CTP_TD] CtpTdApi：init 调用成功。
2025-07-12 10:10:55.201 | INFO | Main | _connect_gateways_with_timeout:225 | ✅ 交易网关连接成功
2025-07-12 10:10:55.202 | INFO | Main | _connect_gateways_with_timeout:241 | ✅ 网关连接流程完成
2025-07-12 10:10:55.202 | INFO | Main | initialize:120 | 🌐 初始化Web管理界面...
2025-07-12 10:10:55.217 | INFO | WebServer | _setup_event_listeners:447 | WebSocket事件监控器已注册
2025-07-12 10:10:55.217 | INFO | WebServer | __init__:137 | Web服务器初始化完成
2025-07-12 10:10:55.218 | INFO | Main | initialize:123 | ✅ 系统组件初始化完成
2025-07-12 10:10:55.218 | INFO | Main | start:320 | 🚀 启动事件总线...
2025-07-12 10:10:55.218 | INFO | EventBus | start:82 | EventBus 'trading_system' engines started
2025-07-12 10:10:55.219 | INFO | Main | start:322 | ✅ 启动事件总线成功
2025-07-12 10:10:55.219 | INFO | Main | start:320 | 🚀 启动服务注册中心...
2025-07-12 10:10:55.220 | INFO | ServiceRegistry | start:47 | ServiceRegistry started
2025-07-12 10:10:55.221 | INFO | Main | start:322 | ✅ 启动服务注册中心成功
2025-07-12 10:10:55.221 | INFO | Main | start:320 | 🚀 启动交易引擎...
2025-07-12 10:10:55.221 | INFO | PerformanceMonitor | start_monitoring:152 | 性能监控已启动
2025-07-12 10:10:55.222 | INFO | TradingEngine | start:1218 | 交易引擎已启动
2025-07-12 10:10:55.222 | INFO | WebServer | event_monitor:424 | WebSocket推送事件: engine.started -> 0 个连接
2025-07-12 10:10:55.222 | INFO | Main | start:322 | ✅ 启动交易引擎成功
2025-07-12 10:10:55.222 | INFO | Main | start:320 | 🚀 启动Web服务器...
2025-07-12 10:10:55.222 | INFO | Main | start:322 | ✅ 启动Web服务器成功
2025-07-12 10:10:55.222 | INFO | Main | start:334 | 🎉 Homalos量化交易系统启动成功!
2025-07-12 10:10:55.223 | INFO | Main | start:335 | ⏰ 启动时间: 2025-07-12 10:10:55
2025-07-12 10:10:55.223 | INFO | Main | _print_system_info:481 | 
============================================================
🎯 Homalos量化交易系统 v2.0
📁 配置文件: config/system.yaml
🌐 Web界面: 启用
🔌 CTP网关: 可用
⚙️ 事件总线: trading_system
💾 数据库: data/trading.db
🎛️ 风控系统: 启用
🌐 Web地址: http://127.0.0.1:8000
============================================================
2025-07-12 10:10:55.371 | INFO | WebServer | start:579 | Web服务器启动: http://127.0.0.1:8000
2025-07-12 10:11:19.163 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:11:19.165 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:11:49.184 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:11:49.184 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:12:19.198 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:12:19.199 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:12:49.207 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:12:49.207 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:13:19.210 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:13:19.211 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:13:49.231 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:13:49.231 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:14:49.235 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:14:49.236 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:14:55.683 | INFO | WebServer | connect:83 | WebSocket连接建立，当前连接数: 1
2025-07-12 10:14:57.792 | INFO | WebServer | _discover_available_strategies:536 | 发现 3 个策略文件
2025-07-12 10:15:01.195 | INFO | WebServer | event_monitor:424 | WebSocket推送事件: strategy.loaded -> 1 个连接
2025-07-12 10:15:01.195 | INFO | TradingEngine | load_strategy:154 | 策略加载成功: minimal_strategy (UUID: e29c917c-7368-499d-9fc0-724d0ee1e123)
2025-07-12 10:15:09.930 | INFO | BaseStrategy | write_log:537 | [minimal_strategy] 最小策略初始化
2025-07-12 10:15:09.931 | INFO | BaseStrategy | write_log:537 | [minimal_strategy] 策略参数: FG509.CZCE, 手数=1, 间隔=10秒
2025-07-12 10:15:09.931 | INFO | BaseStrategy | write_log:537 | [minimal_strategy] 策略 minimal_strategy 初始化完成
2025-07-12 10:15:09.931 | INFO | BaseStrategy | write_log:537 | [minimal_strategy] 最小策略启动
2025-07-12 10:15:09.931 | INFO | BaseStrategy | write_log:537 | [minimal_strategy] 订阅行情: ['FG509']
2025-07-12 10:15:10.042 | INFO | DataService | _handle_data_subscribe:816 | 处理数据订阅请求: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:10.043 | INFO | DataService | subscribe_market_data:579 | 策略 minimal_strategy 订阅行情: ['FG509']
2025-07-12 10:15:10.043 | INFO | MarketDataGateway | _handle_gateway_subscribe:303 | 网关收到订阅请求: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:10.044 | WARNING | MarketDataGateway | _handle_gateway_subscribe:307 | 网关未就绪，延迟处理订阅请求: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:10.044 | INFO | MarketDataGateway | _queue_pending_subscription:146 | 订阅请求已加入队列: 策略=minimal_strategy, 队列长度=1
2025-07-12 10:15:10.045 | INFO | DataService | _handle_data_subscribe:822 | 订阅处理成功: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:10.045 | INFO | BaseStrategy | write_log:537 | [minimal_strategy] 策略 minimal_strategy 启动成功
2025-07-12 10:15:10.045 | INFO | WebServer | event_monitor:424 | WebSocket推送事件: strategy.started -> 1 个连接
2025-07-12 10:15:10.046 | INFO | TradingEngine | start_strategy:210 | 策略启动成功: MinimalStrategy (UUID: e29c917c-7368-499d-9fc0-724d0ee1e123)
2025-07-12 10:15:19.252 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:15:19.253 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:15:20.061 | WARNING | DataService | _check_subscription_timeout:646 | 订阅超时: FG509 (策略: minimal_strategy)
2025-07-12 10:15:20.063 | INFO | DataService | _check_subscription_timeout:653 | 重试订阅: FG509 (第1次)
2025-07-12 10:15:20.063 | INFO | DataService | _retry_subscription:665 | 重试订阅: FG509 (策略: minimal_strategy)
2025-07-12 10:15:20.064 | INFO | MarketDataGateway | _handle_gateway_subscribe:303 | 网关收到订阅请求: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:20.064 | WARNING | MarketDataGateway | _handle_gateway_subscribe:307 | 网关未就绪，延迟处理订阅请求: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:20.064 | INFO | MarketDataGateway | _queue_pending_subscription:146 | 订阅请求已加入队列: 策略=minimal_strategy, 队列长度=2
2025-07-12 10:15:49.271 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:15:49.273 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:16:49.280 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:16:49.280 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:17:19.291 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:17:19.291 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:17:49.312 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:17:49.313 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:18:19.320 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:18:19.320 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:18:49.345 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:18:49.345 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:19:19.363 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:19:19.364 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
